"t0",1688658.00,162436.00,-1900.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,0.10,0.00
"t1",1688873.97,163056.58,-1875.71,0.78,1.84,0.08,0.00,0.00,0.00,-0.03,0.11,0.00
"t2",1689326.38,164248.39,-1828.41,0.77,1.85,0.08,0.00,0.00,0.00,-0.01,0.10,0.00
"t3",1689785.24,165438.42,-1880.64,0.76,1.85,-0.25,0.00,0.00,0.00,-0.04,0.11,0.00
"t4",1690224.21,166636.32,-1835.09,0.75,1.85,0.39,0.00,0.00,0.00,-0.02,0.11,0.00
"t5",1690665.16,167832.85,-1560.83,0.74,1.86,0.50,0.00,0.00,0.00,0.26,-0.03,0.00
"t6",1691263.58,168954.75,-1558.67,0.71,1.87,-0.50,0.00,0.00,0.00,0.26,-0.02,0.00
"t7",1691837.93,170086.63,-1860.89,0.66,1.89,-0.50,0.00,0.00,0.00,-0.05,0.13,0.00
"t8",1692196.13,171323.04,-2013.28,0.60,1.91,-0.01,0.00,0.00,0.00,-0.06,0.23,0.00
"t9",1692508.03,172630.86,-1972.04,0.55,1.92,0.14,0.00,0.00,0.00,-0.03,0.22,0.00
"t10",1692808.84,173939.90,-1945.17,0.50,1.94,-0.05,0.00,0.00,0.00,-0.01,0.19,0.00
"t11",1693098.97,175240.42,-1923.86,0.48,1.94,0.12,0.00,0.00,0.00,0.00,0.17,0.00
"t12",1693381.51,176529.26,-1867.32,0.45,1.95,0.06,0.00,0.00,0.00,0.01,0.17,0.00
"t13",1693652.89,177826.93,-1857.58,0.41,1.96,-0.03,0.00,0.00,0.00,0.04,0.18,0.00
"t14",1693909.41,179136.79,-1855.39,0.36,1.97,0.04,0.00,0.00,0.00,0.05,0.20,0.00
"t15",1694148.49,180458.40,-1855.77,0.32,1.97,-0.04,0.00,0.00,0.00,0.06,0.21,0.00
"t16",1694369.32,181790.45,-1856.02,0.28,1.98,0.04,0.00,0.00,0.00,0.07,0.21,0.00
"t17",1694573.81,183129.85,-1856.21,0.24,1.99,-0.04,0.00,0.00,0.00,0.10,0.21,0.00
"t18",1694772.06,184471.74,-1855.75,0.21,1.99,0.04,0.00,0.00,0.00,0.15,0.21,0.00
"t19",1694981.72,185811.45,-1856.06,0.18,1.99,-0.04,0.00,0.00,0.00,0.21,0.19,0.00
"t20",1695210.91,187144.96,-1856.59,0.15,1.99,0.04,0.00,0.00,0.00,0.25,0.17,0.00
"t21",1695450.09,188468.14,-1859.02,0.13,2.00,-0.05,0.00,0.00,0.00,0.25,0.14,0.00
"t22",1695680.11,189772.55,-1862.56,0.13,2.00,0.03,0.00,0.00,0.00,0.21,0.10,0.00
"t23",1695889.14,191053.41,-1870.71,0.13,2.00,-0.06,0.00,0.00,0.00,0.17,0.07,0.00
"t24",1696076.53,192313.94,-1884.10,0.14,2.00,0.02,0.00,0.00,0.00,0.13,0.05,0.00
"t25",1696247.99,193562.54,-1936.58,0.16,1.99,-0.19,0.00,0.00,0.00,0.06,0.05,0.00
"t26",1696388.09,194806.95,-1993.18,0.19,1.99,0.00,0.00,0.00,0.00,-0.01,0.06,0.00
"t27",1696505.67,196054.88,-2008.89,0.23,1.99,-0.06,0.00,0.00,0.00,-0.03,0.06,0.00
"t28",1696633.25,197304.58,-1998.86,0.25,1.98,0.09,0.00,0.00,0.00,-0.02,0.06,0.00
"t29",1696778.69,198552.96,-1956.65,0.27,1.98,0.05,0.00,0.00,0.00,-0.01,0.06,0.00
"t30",1696937.43,199799.60,-1892.54,0.27,1.98,0.16,0.00,0.00,0.00,0.00,0.07,0.00
"t31",1697093.39,201050.85,-1870.59,0.25,1.98,-0.09,0.00,0.00,0.00,0.01,0.08,0.00
"t32",1697239.51,202312.19,-1859.57,0.22,1.99,0.12,0.00,0.00,0.00,0.02,0.10,0.00
"t33",1697378.36,203586.43,-1855.94,0.19,1.99,-0.11,0.00,0.00,0.00,0.05,0.12,0.00
